iter	Passed	Remaining
468	730	826
469	731	824
470	732	822
471	733	820
472	735	818
473	736	816
474	737	815
475	739	814
476	740	812
477	741	810
478	744	809
479	745	807
480	747	806
481	748	804
482	749	802
483	751	800
484	752	799
485	754	797
486	755	795
487	756	794
488	758	792
489	760	791
490	761	789
491	763	788
492	764	786
493	765	784
494	766	782
495	767	780
496	769	778
497	770	777
498	772	775
499	773	773
500	774	771
501	776	770
502	777	768
503	779	766
504	780	764
505	781	763
506	783	761
507	784	759
508	785	757
509	786	756
510	788	754
511	789	752
512	791	750
513	792	749
514	793	747
515	794	745
516	796	744
517	797	742
518	798	740
519	800	738
520	801	736
521	803	735
522	804	733
523	805	731
524	807	730
525	808	728
526	809	726
527	810	724
528	811	722
529	813	721
530	814	719
531	816	717
532	817	716
533	818	714
534	819	712
535	820	710
536	821	708
537	823	706
538	824	704
539	825	703
540	826	701
541	828	699
542	829	697
543	830	696
544	831	694
545	833	692
546	834	691
547	836	689
548	837	687
549	838	686
550	840	684
551	841	682
552	842	680
553	843	679
554	844	677
555	846	675
556	847	674
557	849	672
558	850	670
559	851	668
560	852	667
561	853	665
562	854	663
563	856	661
564	857	660
565	858	658
566	860	657
567	861	655
568	862	653
569	864	652
570	865	650
571	867	648
572	868	647
573	869	645
574	870	643
575	871	641
576	872	639
577	873	638
578	875	636
579	876	634
580	878	633
581	879	631
582	880	630
583	882	628
584	883	626
585	884	624
586	885	623
587	886	621
588	887	619
589	888	617
590	890	615
591	892	615
592	894	613
593	895	611
594	896	610
595	897	608
596	898	606
597	900	605
598	901	603
599	902	601
600	903	599
601	905	598
602	907	597
603	908	595
604	910	594
605	911	592
606	912	591
607	913	589
608	915	587
609	916	585
610	917	584
611	919	582
612	920	581
613	921	579
614	922	577
615	924	576
616	925	574
617	926	572
618	928	571
619	929	569
620	931	568
621	932	566
622	933	564
623	934	563
624	935	561
625	937	560
626	938	558
627	939	556
628	940	554
629	942	553
630	943	551
631	944	550
632	945	548
633	947	546
634	948	545
635	950	543
636	951	542
637	952	540
638	953	538
639	954	537
640	956	535
641	957	533
642	958	532
643	959	530
644	960	528
645	961	527
646	962	525
647	964	523
648	965	522
649	966	520
650	967	518
651	968	516
652	969	515
653	970	513
654	972	512
655	973	510
656	974	508
657	975	507
658	977	505
659	978	503
660	979	502
661	981	501
662	983	499
663	984	498
664	985	496
665	987	495
666	988	493
667	989	491
668	990	490
669	991	488
670	993	486
671	994	485
672	995	483
673	996	482
674	998	480
675	999	478
676	1000	477
677	1002	475
678	1003	474
679	1004	472
680	1006	471
681	1007	469
682	1008	468
683	1010	466
684	1012	465
685	1014	464
686	1015	462
687	1017	461
688	1018	459
689	1019	458
690	1021	456
691	1022	455
692	1023	453
693	1024	451
694	1026	450
695	1027	448
696	1028	447
697	1030	445
698	1031	444
699	1032	442
700	1034	441
701	1036	439
702	1037	438
703	1038	436
704	1039	435
705	1041	433
706	1042	432
707	1044	430
708	1045	429
709	1046	427
710	1047	425
711	1049	424
712	1051	423
713	1052	421
714	1054	420
715	1055	418
716	1057	417
717	1059	416
718	1060	414
719	1062	413
720	1063	411
721	1064	410
722	1066	408
723	1067	407
724	1068	405
725	1070	403
726	1071	402
727	1073	400
728	1074	399
729	1075	397
730	1077	396
731	1078	394
732	1079	393
733	1080	391
734	1082	390
735	1083	388
736	1084	387
737	1085	385
738	1087	384
739	1088	382
740	1090	381
741	1091	379
742	1092	377
743	1093	376
744	1095	374
745	1096	373
746	1097	371
747	1098	370
748	1099	368
749	1100	366
750	1101	365
751	1103	363
752	1104	362
753	1105	360
754	1106	359
755	1108	357
756	1109	356
757	1110	354
758	1111	352
759	1112	351
760	1113	349
761	1114	348
762	1116	346
763	1117	345
764	1118	343
765	1119	342
766	1120	340
767	1122	339
768	1123	337
769	1125	336
770	1126	334
771	1127	332
772	1128	331
773	1129	329
774	1131	328
775	1133	327
776	1134	325
777	1135	324
778	1136	322
779	1137	320
780	1138	319
781	1140	317
782	1141	316
783	1142	314
784	1143	313
785	1144	311
786	1145	310
787	1146	308
788	1148	307
789	1149	305
790	1150	304
791	1151	302
792	1152	300
793	1153	299
794	1154	297
795	1156	296
796	1157	294
797	1158	293
798	1159	291
799	1161	290
800	1162	288
801	1163	287
802	1165	285
803	1166	284
804	1167	282
805	1168	281
806	1169	279
807	1170	278
808	1172	276
809	1173	275
810	1174	273
811	1175	272
812	1176	270
813	1178	269
814	1179	267
815	1180	266
816	1182	264
817	1183	263
818	1184	261
819	1185	260
820	1186	258
821	1188	257
822	1189	255
823	1190	254
824	1192	252
825	1194	251
826	1195	250
827	1197	248
828	1198	247
829	1199	245
830	1201	244
831	1202	242
832	1203	241
833	1204	239
834	1205	238
835	1207	236
836	1208	235
837	1209	233
838	1210	232
839	1212	230
840	1213	229
841	1214	227
842	1215	226
843	1216	224
844	1217	223
845	1218	221
846	1220	220
847	1221	218
848	1223	217
849	1224	216
850	1225	214
851	1226	213
852	1228	211
853	1229	210
854	1230	208
855	1232	207
856	1233	205
857	1234	204
858	1235	202
859	1236	201
860	1237	199
861	1239	198
862	1240	196
863	1241	195
864	1242	193
865	1243	192
866	1245	190
867	1246	189
868	1247	188
869	1248	186
870	1250	185
871	1252	183
872	1253	182
873	1255	180
874	1256	179
875	1257	178
876	1258	176
877	1259	175
878	1260	173
879	1262	172
880	1263	170
881	1264	169
882	1265	167
883	1266	166
884	1268	164
885	1269	163
886	1270	161
887	1271	160
888	1272	158
889	1273	157
890	1274	155
891	1276	154
892	1277	153
893	1278	151
894	1279	150
895	1280	148
896	1281	147
897	1283	145
898	1284	144
899	1285	142
900	1286	141
901	1288	139
902	1289	138
903	1291	137
904	1292	135
905	1293	134
906	1294	132
907	1295	131
908	1296	129
909	1297	128
910	1298	126
911	1300	125
912	1301	124
913	1302	122
914	1303	121
915	1304	119
916	1305	118
917	1306	116
918	1308	115
919	1309	113
920	1310	112
921	1311	110
922	1313	109
923	1314	108
924	1315	106
925	1316	105
926	1318	103
927	1319	102
928	1320	100
929	1322	99
930	1323	98
931	1324	96
932	1325	95
933	1326	93
934	1327	92
935	1328	90
936	1330	89
937	1331	87
938	1332	86
939	1333	85
940	1334	83
941	1335	82
942	1336	80
943	1338	79
944	1339	77
945	1340	76
946	1341	75
947	1342	73
948	1343	72
949	1344	70
950	1346	69
951	1347	67
952	1349	66
953	1350	65
954	1351	63
955	1352	62
956	1353	60
957	1354	59
958	1356	57
959	1357	56
960	1358	55
961	1359	53
962	1361	52
963	1362	50
964	1363	49
965	1364	48
966	1365	46
967	1366	45
968	1367	43
969	1369	42
970	1370	40
971	1371	39
972	1372	38
973	1374	36
974	1375	35
975	1376	33
976	1378	32
977	1379	31
978	1381	29
979	1382	28
980	1383	26
981	1384	25
982	1385	23
983	1386	22
984	1387	21
985	1388	19
986	1389	18
987	1391	16
988	1392	15
989	1393	14
990	1395	12
991	1396	11
992	1397	9
993	1398	8
994	1399	7
995	1400	5
996	1402	4
997	1403	2
998	1404	1
999	1405	0
